date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:20	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:32:22%20GMT	https://paigejo.wordpress.com/2015/10/01/research-interests/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/research-interests/index5a58.html	(from https://paigejo.wordpress.com/2015/10/01/research-interests/)
12:33:22	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:32:22%20GMT	https://paigejo.wordpress.com/2015/10/01/research-interests/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/research-interests/index9a7b.html	(from https://paigejo.wordpress.com/2015/10/01/research-interests/)
12:33:22	15488/15488	---MCZ	200	added ('OK')	text/html	etag:W/%220357383ee40f3815eaf0f4c237d4b079%22	https://paigejo.wordpress.com/2015/10/01/code/amp/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/code/amp/index.html	(from https://paigejo.wordpress.com/2015/10/01/code/)
12:33:22	909/909	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2267b708fab1b9e5cec2508d1e11471def%22	https://paigejo.wordpress.com/2015/10/01/research-interests/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/research-interests/feed/index.html	(from https://paigejo.wordpress.com/2015/10/01/research-interests/)
12:34:16	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:33:23%20GMT	https://paigejo.wordpress.com/2015/10/01/code/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/code/index386f.html	(from https://paigejo.wordpress.com/2015/10/01/code/)
12:34:17	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:33:22%20GMT	https://paigejo.wordpress.com/2015/10/01/code/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/code/index5a58.html	(from https://paigejo.wordpress.com/2015/10/01/code/)
12:34:19	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:33:22%20GMT	https://paigejo.wordpress.com/2015/10/01/code/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/code/index9a7b.html	(from https://paigejo.wordpress.com/2015/10/01/code/)
12:34:22	867/867	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%226c71af99490c3b5436fc6eecf73fe9ad%22	https://paigejo.wordpress.com/2015/10/01/code/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/2015/10/01/code/feed/index.html	(from https://paigejo.wordpress.com/2015/10/01/code/)
12:35:12	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:34:19%20GMT	https://paigejo.wordpress.com/bio/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/bio/index5a58.html	(from https://paigejo.wordpress.com/bio/)
12:35:12	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:34:17%20GMT	https://paigejo.wordpress.com/bio/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/bio/index9a7b.html	(from https://paigejo.wordpress.com/bio/)
12:35:14	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:34:23%20GMT	https://paigejo.wordpress.com/bio/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/bio/index386f.html	(from https://paigejo.wordpress.com/bio/)
12:35:20	837/837	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ecfdd0d329d50c6d864925ed221759a8%22	https://paigejo.wordpress.com/bio/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/bio/feed/index.html	(from https://paigejo.wordpress.com/bio/)
12:36:07	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:35:14%20GMT	https://paigejo.wordpress.com/code/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/code/index5a58.html	(from https://paigejo.wordpress.com/code/)
12:36:07	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:35:12%20GMT	https://paigejo.wordpress.com/code/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/code/index9a7b.html	(from https://paigejo.wordpress.com/code/)
12:36:12	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:35:21%20GMT	https://paigejo.wordpress.com/code/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/code/index386f.html	(from https://paigejo.wordpress.com/code/)
12:36:16	839/839	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2272cf1783b31379ccac51a970468cda1a%22	https://paigejo.wordpress.com/code/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/code/feed/index.html	(from https://paigejo.wordpress.com/code/)
12:37:03	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:36:08%20GMT	https://paigejo.wordpress.com/contact/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/contact/index9a7b.html	(from https://paigejo.wordpress.com/contact/)
12:37:06	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:36:13%20GMT	https://paigejo.wordpress.com/contact/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/contact/index5a58.html	(from https://paigejo.wordpress.com/contact/)
12:37:09	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:36:17%20GMT	https://paigejo.wordpress.com/contact/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/contact/index386f.html	(from https://paigejo.wordpress.com/contact/)
12:37:12	845/845	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221cd0f618806cc537e8e71c50e4f6ca18%22	https://paigejo.wordpress.com/contact/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/contact/feed/index.html	(from https://paigejo.wordpress.com/contact/)
12:38:03	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:37:07%20GMT	https://paigejo.wordpress.com/publications/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/publications/index9a7b.html	(from https://paigejo.wordpress.com/publications/)
12:38:04	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:37:09%20GMT	https://paigejo.wordpress.com/publications/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/publications/index5a58.html	(from https://paigejo.wordpress.com/publications/)
12:38:04	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:37:12%20GMT	https://paigejo.wordpress.com/publications/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/publications/index386f.html	(from https://paigejo.wordpress.com/publications/)
12:38:08	855/855	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220df2cfe7332072fda1b2b85ac4ed255e%22	https://paigejo.wordpress.com/publications/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/publications/feed/index.html	(from https://paigejo.wordpress.com/publications/)
12:39:01	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:38:05%20GMT	https://paigejo.wordpress.com/research-interests-2/?share=facebook	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/research-interests-2/index5a58.html	(from https://paigejo.wordpress.com/research-interests-2/)
12:39:01	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:38:08%20GMT	https://paigejo.wordpress.com/research-interests-2/?share=google-plus-1	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/research-interests-2/index386f.html	(from https://paigejo.wordpress.com/research-interests-2/)
12:39:02	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Jul%202017%2019:38:04%20GMT	https://paigejo.wordpress.com/research-interests-2/?share=twitter	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/research-interests-2/index9a7b.html	(from https://paigejo.wordpress.com/research-interests-2/)
12:39:02	18735/18735	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220947a9abdcef6ee8c8e1bc1990e85b25%22	https://paigejo.wordpress.com/author/paigejo/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/author/paigejo/feed/index.html	(from https://paigejo.wordpress.com/author/paigejo/)
12:39:02	72386/72386	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202017%2019:39:01%20GMT	https://paigejo.wordpress.com/category/uncategorized/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/category/uncategorized/index.html	(from https://paigejo.wordpress.com/2015/10/01/bio/amp/)
12:39:02	869/869	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229e5ecb63b55a78442b7df6502f72662e%22	https://paigejo.wordpress.com/research-interests-2/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/research-interests-2/feed/index.html	(from https://paigejo.wordpress.com/research-interests-2/)
12:39:03	18755/18755	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220947a9abdcef6ee8c8e1bc1990e85b25%22	https://paigejo.wordpress.com/category/uncategorized/feed/	/Users/johnpaige/websites/jpstats/paigejo.wordpress.com/category/uncategorized/feed/index.html	(from https://paigejo.wordpress.com/category/uncategorized/)
